listing_id,year,make,model,variant,displacement,transmission,color,mileage,price,city,last_updated
10530320,2017,MINI,Countryman,Cooper,1500,Automatic,Biru,21000,538000000,Menteng,2022-10-17
10530337,2018,Daihatsu,Ayla,R,1200,Manual,Silver,42500,111250000,Pademangan,2022-10-17
10530350,2016,Nissan,X-Trail,,2500,Automatic,Putih,79066,246000000,Mangga Dua,2022-10-17
10530340,2020,Honda,BR-V,E Prestige,1500,Automatic,Putih,32500,239200000,Jagakarsa,2022-10-17
10530356,2017,Toyota,Avanza,E,1400,Manual,Silver,32500,144000000,Bogor Tengah,2022-10-17
10530377,2017,Toyota,Avanza,E,1400,Manual,Silver,32500,144000000,Cibinong,2022-10-17
10530359,2017,Daihatsu,Ayla,X,1000,Manual,Hitam,82500,101000000,Bekasi Selatan,2022-10-17
10530374,2019,Honda,CR-V,VTEC,1500,Automatic,Putih,42500,428600000,Kelapa Gading,2022-10-17
10530366,2020,Mitsubishi,Xpander,EXCEED,1500,Automatic,Hitam,42500,246250000,Jelambar,2022-10-17
10437530,2015,City,City,E,1500,Automatic,Abu-abu,89000,180000000,Bintaro,2022-10-17
10530396,2021,Mitsubishi,Xpander,ULTIMATE,1500,Automatic,Putih,32500,253000000,Cijantung,2022-10-17
10530402,2019,Mitsubishi,Xpander,CROSS,1500,Automatic,Orange,17500,239000000,Bintaro,2022-10-17
10530431,2021,Honda,CR-V,VTEC,1500,Automatic,Hitam,2500,535400000,Kemayoran,2022-10-17
10530406,2017,Toyota,Avanza,E,1400,Manual,Silver,32500,144000000,Lenteng Agung,2022-10-17
10530752,2017,Honda,Jazz,S,1500,Automatic,Abu-abu,72500,195000000,Gunung Sindur,2022-10-17
10144194,2013,Dodge,Journey,SXT Platinum,2400,Automatic,Hitam,83000,195000000,Bintaro,2022-10-17
9707521,2016,Daihatsu,Xenia,R SPORTY,1400,Manual,Silver,62500,153000000,Jati Asih,2022-10-17
10530765,2017,Honda,HR-V,S,1500,Automatic,Hitam,67500,223250000,Cengkareng,2022-10-17
9991433,2015,Mercedes-Benz,GLA200,Urban,1600,Automatic,Putih,27500,395000000,Cipinang,2022-10-17
10530766,2018,Honda,Mobilio,E,1500,Manual,Silver,62500,161250000,Jelambar,2022-10-17
10530774,2019,Chevrolet,Trax,Premier,1400,Automatic,Abu-abu,62500,211000000,Bintaro,2022-10-17
10476477,2015,BMW,320i,Sport,2000,Automatic,Silver,42500,419000000,Sunter,2022-10-17
10530785,2020,Honda,HR-V,E Special Edition,1500,Automatic,Silver,37500,307200000,Gajah Mada,2022-10-17
9860939,2021,Mitsubishi,Xpander,CROSS,1500,Automatic,Putih,17500,287000000,Tanah Sareal,2022-10-18
10225434,2010,Toyota,Vellfire,Z,2400,Automatic,Hitam,47500,320000000,Meruya,2022-10-17
10530803,2019,Chevrolet,Trax,Premier,1400,Automatic,Merah,42500,239000000,Bintaro,2022-10-17
10530806,2019,Toyota,Kijang Innova,V,2400,Automatic,Hitam,71179,384900000,Daan Mogot,2022-10-17
10223633,2018,Mazda,CX-5,GT,2500,Automatic,Putih,37500,415000000,Cassablanca,2022-10-17
