listing_id,year,make,model,variant,displacement,transmission,color,mileage,price,city,last_updated
10517394,2017,Corolla,Corolla Altis,V,1798,Automatic,Hitam,35000,275000000,Grogol,15 Oktober 2022
10517401,2019,Ayla,Ayla,R,1197,Manual,Orange,41000,113000000,Jurumudi,15 Oktober 2022
10517406,2015,Kijang,Kijang Innova,G,1998,Automatic,Putih,90000,190000000,Jurumudi,15 Oktober 2022
10517403,2018,Daihatsu,Terios,X,1496,Manual,Hitam,32500,171000000,Cawang,15 Oktober 2022
10498399,2017,BMW,530i,Luxury,1998,Automatic,Hitam,32500,839000000,Pondok Indah,15 Oktober 2022
10517397,2018,Xenia,Xenia,R SPORTY,1329,Automatic,Putih,46000,155000000,Jurumudi,15 Oktober 2022
10517410,2019,Agya,Agya,G,1197,Automatic,Hitam,14000,130000000,Jurumudi,15 Oktober 2022
10517414,2016,HRV,HR-V,E,1497,Automatic,Hitam,51000,225000000,Jurumudi,15 Oktober 2022
10517416,2018,Mitsubishi,Pajero Sport,Dakar Ultimate,2442,Automatic,Abu-abu,47500,438000000,Mangga Dua,15 Oktober 2022
10517434,2019,Livina,Livina,VL,1499,Automatic,Hitam,25000,215000000,Grogol,15 Oktober 2022
10517430,2015,Mercedes-Benz,CLA200,Sport,1595,Automatic,Abu-abu,27500,470000000,Kelapa Gading,15 Oktober 2022
10517424,2011,Jazz,Jazz,RS,1496,Automatic,Abu-abu,74000,135000000,Jurumudi,15 Oktober 2022
10517419,2013,Jazz,Jazz,RS,1496,Automatic,Putih,104000,155000000,Jurumudi,15 Oktober 2022
10517437,2019,Xpander,Xpander,ULTIMATE,1499,Automatic,Abu-abu,53000,230000000,Jurumudi,15 Oktober 2022
10516954,2019,Toyota,Agya,G,1197,Manual,Hitam,7500,136000000,Kelapa Gading,15 Oktober 2022
10516957,2020,Mitsubishi,Xpander,EXCEED,1499,Automatic,Hitam,41444,239200000,Mangga Dua,15 Oktober 2022
10516981,2010,Toyota,Harrier,240G,2362,Automatic,Hitam,92500,204000000,Setiabudi,15 Oktober 2022
10514363,2015,Toyota,Fortuner,G,2494,Automatic,Putih,87500,297000000,Kemayoran,15 Oktober 2022
10514204,2021,Toyota,Kijang Innova,V,2393,Automatic,Putih,17500,420000000,Kemayoran,15 Oktober 2022
10514191,2019,Toyota,Fortuner,TRD,2393,Automatic,Hitam,42500,469000000,Kemayoran,15 Oktober 2022
10516985,2016,BMW,320d,Sport,1995,Automatic,Hitam,62500,371000000,Alam Sutera,15 Oktober 2022
10514213,2017,Daihatsu,Xenia,R SPORTY,1329,Automatic,Silver,42500,152000000,Kemayoran,15 Oktober 2022
10516994,2019,Honda,Brio,Satya E,1199,Manual,Abu-abu,12500,149000000,Kelapa Gading,15 Oktober 2022
10517011,2019,Honda,Brio,Satya E,1199,Manual,Abu-abu,12500,149000000,Bekasi Selatan,15 Oktober 2022
10517054,2017,Toyota,Avanza,Veloz,1496,Manual,Silver,127500,159000000,Neglasari,15 Oktober 2022
10516998,2017,Toyota,Sienta,V,1497,Automatic,Orange,92500,184000000,Kapuk,15 Oktober 2022
9989520,2017,Toyota,Yaris,G,1496,Automatic,Hitam,82500,178000000,Bintara,15 Oktober 2022
10447809,2021,KM,Almaz,RS Pro,1451,Automatic,Putih,5168,315000000,Kebon Jeruk,17 Oktober 2022
10517062,2016,Mitsubishi,Mirage,GLX,1193,Manual,Putih,89284,92500000,Mangga Dua,15 Oktober 2022
10517017,2017,Honda,Jazz,RS,1497,Automatic,Abu-abu,47500,212700000,Depok,15 Oktober 2022
9802552,2016,Mazda,2,R,1496,Automatic,Hitam,97500,190000000,Mangga Dua,15 Oktober 2022
10377195,2014,Lexus,LX570,,5663,Automatic,Abu-abu,47500,1390000000,Sunter,15 Oktober 2022
10517084,2020,Mazda,CX-5,GT,2488,Automatic,Hitam,26704,506300000,Serpong Park,15 Oktober 2022
9510503,2020,Honda,Brio,Satya E,1199,Manual,Hitam,22500,158000000,Bolevar Hijau,15 Oktober 2022
10517070,2017,Daihatsu,Terios,X,1495,Manual,Hitam,32500,166000000,Bekasi,15 Oktober 2022
10516295,2019,Chevrolet,Trax,Premier,1364,Automatic,Abu-abu,67500,205000000,Cinere,15 Oktober 2022
10517094,2017,Toyota,Camry,V,2494,Automatic,Hitam,67500,309000000,Kemayoran,15 Oktober 2022
10517098,2019,Honda,CR-V,Prestige Prestige VTEC,1498,Automatic,Putih,62500,416000000,Gading Serpong,15 Oktober 2022
10517107,2019,Toyota,Fortuner,VRZ,2393,Automatic,Hitam,32500,447000000,Bintaro,15 Oktober 2022
10516649,2017,BMW,730Li,,1998,Automatic,Hitam,41000,895000000,Sunter,15 Oktober 2022
10517104,2015,Mazda,2,R,1496,Automatic,Hitam,32500,193000000,Joglo,15 Oktober 2022
10422409,2019,Honda,Mobilio,RS,1496,Automatic,Hitam,32500,200000000,Cibubur,15 Oktober 2022
10509799,2009,Toyota,Harrier,240G,2362,Automatic,Hitam,85000,195000000,Mangga Dua,15 Oktober 2022
10511757,2016,Toyota,Kijang Innova,V,1998,Automatic,Silver,22500,269000000,Kramat Jati,15 Oktober 2022
10220963,2016,Mercedes-Benz,GLA200,Sport,1595,Automatic,Abu-abu,37500,485000000,Sawah Besar,15 Oktober 2022
10516662,2018,Nissan,Serena,Highway Star,1997,Automatic,Abu-abu,77500,263500000,Cengkareng,15 Oktober 2022
10479111,2019,Honda,CR-V,VTEC,1498,Automatic,Silver,32500,415000000,Kalimalang,15 Oktober 2022
10516653,2019,Toyota,Avanza,G,1329,Manual,Hitam,17500,183000000,Glodok,15 Oktober 2022
10516672,2018,RENDAH,Kijang Innova,V,1998,Automatic,Putih,38000,283000000,Karangtengah,15 Oktober 2022
10373984,2020,MINI,Cooper,S,1998,Automatic,Hitam,2500,885000000,Kelapa Gading,15 Oktober 2022
10516679,2019,Toyota,Camry,V,2494,Automatic,Hitam,42500,475000000,Cideng,15 Oktober 2022
10515251,2021,BMW,X1,sDrive18i Dynamic,1499,Automatic,Biru,12500,739000000,Pondok Indah,15 Oktober 2022
10516677,2015,Honda,Odyssey,2.4,2356,Automatic,Ungu,92500,389000000,Bedungan Jatiluhur,15 Oktober 2022
10516706,2021,Honda,City,RS,1498,Automatic,Hitam,7500,280000000,Bekasi Timur,15 Oktober 2022
10078855,2015,MINI,Cooper,,1499,Automatic,Merah,35000,430000000,Sunter,15 Oktober 2022
10516723,2019,Toyota,Kijang Innova,G,2393,Automatic,Abu-abu,67500,346000000,Pluit,15 Oktober 2022
10471349,2019,Toyota,Yaris,TRD Sportivo,1496,Automatic,Putih,8000,229500000,Cengkareng,15 Oktober 2022
10516736,2019,Toyota,Calya,E,1197,Manual,Hitam,40445,134000000,Cilincing,15 Oktober 2022
10461776,2017,Volkswagen,Polo,Highline TSI,1197,Automatic,Putih,37500,205000000,Pondok Indah,15 Oktober 2022
10516737,2019,Mazda,CX-5,Elite,2488,Automatic,Hitam,42500,459000000,Bukit Duri,15 Oktober 2022
10516781,2018,Mazda,6,SKYACTIV-G,2488,Automatic,Merah,32500,455000000,Mangga Dua,15 Oktober 2022
10516760,2015,Honda,HR-V,Prestige,1799,Automatic,Putih,92500,256000000,Cassablanca,15 Oktober 2022
10516810,2016,Honda,CR-V,,2354,Automatic,Silver,62500,293000000,Bekasi Timur,15 Oktober 2022
10516766,2016,Daihatsu,Xenia,R,1329,Manual,Silver,62500,144000000,Harapan Indah,15 Oktober 2022
10516792,2020,Mitsubishi,Xpander,CROSS,1499,Automatic,Hitam,42500,267000000,Pondok Bambu,15 Oktober 2022
10516838,2016,Honda,CR-V,,2354,Automatic,Silver,62500,293000000,Serpong,15 Oktober 2022
10514286,2020,Mazda,CX-5,GT,2488,Automatic,Hitam,12500,479000000,Mangga Dua,15 Oktober 2022
10516844,2017,Toyota,Rush,TRD Sportivo 7,1495,Automatic,Hitam,97500,172000000,Duri Pulo,15 Oktober 2022
10516816,2019,Lexus,RX300,F-Sport,1998,Automatic,Hitam,27500,1213200000,Cibubur,15 Oktober 2022
9311212,2019,Mercedes-Benz,GLA200,AMG,1595,Automatic,Abu-abu,19000,655000000,Sunter,15 Oktober 2022
10182312,2018,HONDA,Jazz,RS,1497,Automatic,Hitam,40000,209000000,Kemayoran,15 Oktober 2022
10506930,2015,Mazda,2,R,1496,Automatic,Abu-abu,98000,160000000,Kelapa Dua,15 Oktober 2022
10094466,2020,ODYSSEY,Odyssey,Prestige 2.4,2356,Automatic,Putih,17500,695000000,Pondok Indah,15 Oktober 2022
10516435,2018,Suzuki,Ertiga,GL,1373,Manual,Abu-abu,57500,185000000,Kebon Jeruk,15 Oktober 2022
10516431,2010,Toyota,Yaris,S Limited,1497,Automatic,Hitam,57500,112500000,Duren Sawit,15 Oktober 2022
10516434,2018,Toyota,Fortuner,TRD,2393,Automatic,Hitam,67500,448000000,Cengkareng,15 Oktober 2022
10488255,2020,TOYOTA,Kijang Innova,G,1998,Automatic,Hitam,15000,294000000,Kemayoran,15 Oktober 2022
10516427,2016,Honda,CR-V,,1997,Automatic,Abu-abu,97500,246000000,Bintaro,15 Oktober 2022
10514434,2016,Suzuki,Ertiga,Dreza,1373,Automatic,Ungu,30000,158000000,Gunung Sahari,15 Oktober 2022
10516448,2019,Mazda,CX-5,Elite,2488,Automatic,Abu-abu,57346,474200000,Mangga Dua,15 Oktober 2022
10514166,2016,Toyota,Kijang Innova,V,1998,Automatic,Silver,22500,269000000,Kemayoran,15 Oktober 2022
10514157,2013,Mazda,Biante,2.0 SKYACTIV A/T,1997,Automatic,Silver,47500,162000000,Mangga Dua,15 Oktober 2022
10514199,2014,Toyota,Vellfire,Z,2362,Automatic,Hitam,42500,449000000,Mangga Dua,15 Oktober 2022
10516267,2019,Chevrolet,Trax,Premier,1364,Automatic,Abu-abu,67500,205000000,Bogor Barat,15 Oktober 2022
10234361,2015,Honda,Mobilio,E,1496,Automatic,Abu-abu,53000,128000000,Kelapa Dua,15 Oktober 2022
10516484,2017,Toyota,Avanza,E,1329,Manual,Silver,27500,149000000,Pasar Minggu,15 Oktober 2022
10514326,2021,Toyota,Rush,TRD Sportivo,1496,Automatic,Hitam,17500,248000000,Kemayoran,15 Oktober 2022
10516515,2019,Mitsubishi,Pajero Sport,Exceed,2477,Automatic,Putih,32500,433000000,Duri Kepa,15 Oktober 2022
10514235,2021,Mitsubishi,Xpander,CROSS,1499,Automatic,Putih,17500,278000000,Kemayoran,15 Oktober 2022
10514256,2012,Volkswagen,Golf,GTi,1984,Automatic,Putih,72500,328000000,Kemayoran,15 Oktober 2022
10516504,2019,Toyota,Kijang Innova,V,2393,Automatic,Hitam,77179,384900000,Tangerang,15 Oktober 2022
10516516,2019,Mazda,CX-5,Elite,2488,Automatic,Abu-abu,57500,474200000,Bintaro,15 Oktober 2022
10513890,2016,Nissan,Serena,Highway Star,1997,Automatic,Putih,61186,226000000,Bogor Kota,15 Oktober 2022
10487135,2017,Toyota,Camry,V,2494,Automatic,Hitam,72500,309000000,Jagakarsa,15 Oktober 2022
10516186,2017,Honda,Civic,ES,1498,Automatic,Biru,42500,368000000,Rempoa,15 Oktober 2022
10516180,2018,Suzuki,Ertiga,GX,1462,Automatic,Abu-abu,73799,190600000,Ancol,15 Oktober 2022
10362845,2015,Toyota,Vellfire,ZG,2494,Automatic,Hitam,42500,749000000,Kelapa Gading Barat,15 Oktober 2022
10503963,2018,Mitsubishi,Pajero Sport,Dakar Rockford Fosgate,2442,Automatic,Hitam,57500,433000000,Kelapa Gading,15 Oktober 2022
10516199,2019,MINI,Cabrio,Cooper S,1998,Automatic,Orange,12500,935000000,Kelapa Gading,15 Oktober 2022
10516226,2020,KIA,Seltos,EX+,1353,Automatic,Putih,12500,315000000,Mangga Dua,15 Oktober 2022
10516224,2017,Toyota,Corolla Altis,V,1798,Automatic,Hitam,22500,276000000,Grand Wisata,15 Oktober 2022
10516212,2016,Toyota,Calya,G,1197,Automatic,Putih,82500,120000000,Neglasari,15 Oktober 2022
9234764,2017,Toyota,Alphard,G,2494,Automatic,Hitam,72500,795000000,Sunter,15 Oktober 2022
10475919,2015,Land,Range Rover Evoque,Dynamic Si4,1999,Automatic,Merah,67500,725000000,Sunter,15 Oktober 2022
10516228,2019,Chevrolet,Trax,Premier,1364,Automatic,Abu-abu,67500,205000000,Bogor Kota,15 Oktober 2022
10507691,2020,Mitsubishi,Xpander,CROSS,1499,Automatic,Putih,15000,255000000,Gunung Sahari,15 Oktober 2022
10516222,2016,MINI,Cabrio,Cooper S,1998,Automatic,Biru,7500,825000000,Kelapa Gading,15 Oktober 2022
10516236,2013,Honda,City,E,1497,Automatic,Silver,82500,187000000,Babelan,15 Oktober 2022
10516230,2018,Toyota,Innova Venturer,,2393,Automatic,Putih,92500,409900000,Pluit,15 Oktober 2022
10339979,2020,Toyota,Yaris,TRD Sportivo,1496,Automatic,Putih,2500,259000000,Kelapa Gading Barat,15 Oktober 2022
10516252,2021,Toyota,Avanza,G TSS,1496,Automatic,Putih,2500,263000000,Cinere,15 Oktober 2022
10516241,2014,Toyota,Fortuner,G TRD,2494,Automatic,Hitam,82500,302300000,Duri Kepa,15 Oktober 2022
10516249,2018,Mitsubishi,Xpander,SPORT,1499,Automatic,Abu-abu,60275,220000000,Senayan,15 Oktober 2022
10514393,2021,Toyota,Rush,TRD Sportivo,1496,Automatic,Hitam,7500,252000000,Kemayoran,15 Oktober 2022
10516282,2018,Mitsubishi,Xpander,SPORT,1499,Automatic,Abu-abu,60275,220000000,Pancoran Mas,15 Oktober 2022
10516273,2017,Suzuki,Ignis,GX,1197,Automatic,Orange,22500,142000000,Cikarang Selatan,15 Oktober 2022
10514210,2017,Toyota,Camry,V,2494,Automatic,Hitam,67500,309000000,Kemayoran,15 Oktober 2022
10516260,2018,Suzuki,Baleno,GL,1373,Manual,Merah,52500,166000000,Duren Sawit,15 Oktober 2022
10514312,2017,Honda,CR-V,VTEC,1498,Automatic,Putih,67500,379000000,Mangga Dua,15 Oktober 2022
10516279,2011,MINI,Cooper,S,1598,Automatic,Orange,37500,385000000,Kelapa Gading,15 Oktober 2022
10515862,2017,Honda,Brio,Satya E,1199,Automatic,Hitam,142500,127000000,Neglasari,15 Oktober 2022
10516286,2017,Toyota,Avanza,E,1329,Manual,Silver,87500,144250000,Mangga Dua,15 Oktober 2022
10515954,2018,Honda,Mobilio,E,1496,Automatic,Hitam,34402,160000000,Cakung,15 Oktober 2022
10515974,2019,Toyota,Yaris,TRD Sportivo,1496,Manual,Hitam,2500,227000000,Fatmawati,15 Oktober 2022
10515996,2021,Honda,CR-V,Prestige Prestige VTEC,1498,Automatic,Hitam,7500,540000000,Permata Hijau,15 Oktober 2022
10516002,2020,Toyota,Yaris,TRD Sportivo,1496,Automatic,Kuning,12500,257000000,Alam Sutera,15 Oktober 2022
10515944,2014,Corolla,Corolla Altis,G,1798,Manual,Hitam,34000,185000000,Harapan Indah,15 Oktober 2022
10515990,2019,Daihatsu,Sigra,M,998,Manual,Merah,42500,105000000,Neglasari,15 Oktober 2022
9764951,2021,Toyota,Camry,Hybrid,2487,Automatic,Hitam,6000,750000000,Pondok Indah,15 Oktober 2022
8617565,2021,BMW,X1,sDrive18i xLine,1499,Automatic,Putih,14000,810000000,Pondok Indah,15 Oktober 2022
10516007,2018,Toyota,Corolla Altis,V,1798,Automatic,Hitam,27500,297000000,Ampera,15 Oktober 2022
10516013,2019,Mitsubishi,Pajero Sport,Dakar,2442,Automatic,Hitam,42500,557000000,Cakung,15 Oktober 2022
10129351,2016,Toyota,Alphard,G,2494,Automatic,Hitam,51000,845000000,Pondok Indah,15 Oktober 2022
10516025,2019,Toyota,Calya,G,1197,Manual,Putih,37500,137000000,Daan Mogot,15 Oktober 2022
10516024,2022,Toyota,Rush,S GR Sport,1496,Automatic,Putih,7500,261300000,Fatmawati,15 Oktober 2022
10129390,2021,Mercedes-Benz,GLC200,AMG Line,1991,Automatic,Hitam,5000,1225000000,Pondok Indah,15 Oktober 2022
9002127,2012,Audi,Q3,2.0 TFSI,1984,Automatic,Hitam,40000,325000000,Pondok Indah,15 Oktober 2022
9122584,2018,Mercedes-Benz,C200,AMG,1991,Automatic,Hitam,31000,655000000,Pondok Indah,15 Oktober 2022
10516043,2019,Toyota,Calya,G,1197,Manual,Putih,37500,137000000,Alam Sutera,15 Oktober 2022
9884146,2019,Mercedes-Benz,C200,Avantgarde,1497,Automatic,Putih,26000,750000000,Pondok Indah,15 Oktober 2022
10516045,2016,Toyota,Yaris,G,1497,Automatic,Putih,22500,187000000,Sawangan,15 Oktober 2022
9946347,2016,MINI,Cooper,,1499,Automatic,Hijau,37000,550000000,Pondok Indah,15 Oktober 2022
10516051,2019,Mazda,CX-3,Touring,1998,Automatic,Putih,30073,340200000,Mangga Dua,15 Oktober 2022
10370472,2019,Honda,CR-V,Prestige Prestige VTEC,1498,Automatic,Abu-abu,36000,460000000,Sunter,15 Oktober 2022
8970164,2015,Jeep,Wrangler,Sport Renegade,2985,Automatic,Hitam,38000,1095000000,Pondok Indah,15 Oktober 2022
10124052,2022,Toyota,Alphard,G,2494,Automatic,Putih,5000,1275000000,Pondok Indah,15 Oktober 2022
9794353,2020,Toyota,Vellfire,G,2494,Automatic,Putih,22000,1175000000,Pondok Indah,15 Oktober 2022
9506953,2019,Mercedes-Benz,C200,Exclusive Line,1497,Automatic,Hitam,15000,710000000,Sunter,15 Oktober 2022
10515468,2020,Suzuki,XL7,ZETA,1462,Automatic,Coklat,35907,239200000,delta mas,15 Oktober 2022
10129363,2018,Lexus,RX300,F-Sport,1998,Automatic,Putih,33000,1125000000,Pondok Indah,15 Oktober 2022
10515531,2014,Toyota,Yaris,TRD Sportivo,1497,Manual,Orange,92500,147000000,Neglasari,15 Oktober 2022
10515512,2019,Mazda,CX-5,Elite,2488,Automatic,Hitam,52500,477100000,Kelapa Gading Pegangsaan Dua,15 Oktober 2022
10515495,2019,Mercedes-Benz,GLC200,AMG Line,1991,Automatic,Hitam,7500,915000000,Kelapa Gading,15 Oktober 2022
10515503,2020,Mitsubishi,Xpander,CROSS,1499,Automatic,Putih,27500,253000000,Bekasi Barat,15 Oktober 2022
10515520,2014,Honda,Odyssey,Prestige 2.4,2356,Automatic,Hitam,112500,375000000,Bintaro,15 Oktober 2022
10515540,2016,Mercedes-Benz,GLC250,Exclusive 4MATIC,1991,Automatic,Abu-abu,37500,645000000,Kelapa Gading,15 Oktober 2022
10515606,2011,Toyota,Vellfire,Z,2362,Automatic,Silver,30000,300000000,Bekasi,15 Oktober 2022
10515537,2018,Mazda,2,GT,1496,Automatic,Hitam,43073,233000000,Mangga Dua,15 Oktober 2022
10515612,2014,Honda,Mobilio,E,1496,Automatic,Silver,92500,130000000,Neglasari,15 Oktober 2022
