listing_id,created_at,title,user_type,price,province,city,area,display_date,fetch_time,make,model,variant,car_year,mileage,fuel_type,color,transmission,engine_capacity,body_type,seller_type
874111716,2022-10-31T09:43:37+07:00,[OLX AUTOS] Nissan Serena HWS  Bensin 2012 AT Hitam Metalik #FlashSale,OLX_Autos,125000000.0,Jakarta D.K.I.,Jakarta Selatan,Pesanggrahan,2022-10-31T02:43:34+0000,2022-10-31 10:24:06,Nissan,Serena,2.0 Highway Star Bensin,2012,165,Bensin,Hitam,Automatic,1500-to-2000,Van,Diler
874314384,2022-10-31T09:47:52+07:00,Nissan Livina VL at 2019,Regular,205000000.0,Jakarta D.K.I.,Jakarta Timur,Duren Sawit,2022-10-31T02:42:59+0000,2022-10-31 10:24:06,Nissan,Livina,1.5 VL Bensin,2019,70,Bensin,Abu-abu,Automatic,1000-to-1500,MPV,Individu
869651118,2022-10-27T19:26:32+07:00,[OLXAutos] Honda Mobilio 2018 1.5 E A/T Bensin Putih #AutoDream,Franchise,170000000.0,Jakarta D.K.I.,Jakarta Utara,Kelapa Gading,2022-10-09T05:49:32+0000,2022-10-31 10:24:06,Honda,Mobilio,1.5 E Bensin,2018,50,Bensin,Putih,Automatic,1000-to-1500,MPV,Diler
877169135,2022-10-26T09:50:57+07:00,[OLX Autos] KIA Sorento 2013 2.2 Solar A/T Putih #Allison,Regular,229000000.0,Jakarta D.K.I.,Jakarta Selatan,Cilandak,2022-10-28T07:54:53+0000,2022-10-31 10:24:06,Kia,Sorento,2.2 Solar,2013,90,Bensin,Putih,Automatic,2000-to-3000,SUV,Diler
875975799,2022-10-15T07:24:54+07:00,[OLXAutos] Chevrolet Spin 1.5 LTZ Bensin AT 2013 Abu-Abu,Regular,99000000.0,Jakarta D.K.I.,Jakarta Barat,Kalideres,2022-10-28T08:06:41+0000,2022-10-31 10:24:06,Chevrolet,Spin,1.5 LTZ Bensin,2013,90,Bensin,Abu-abu,Automatic,1000-to-1500,MPV,Diler
872849364,2022-10-17T20:05:38+07:00,[OLXAutos] Mercedes-Benz B180 1.7 A/T 2010 Bensin Hitam#HANDY AUTOS,Franchise,159000000.0,Jakarta D.K.I.,Jakarta Selatan,Kebayoran Baru,2022-10-30T14:22:35+0000,2022-10-31 10:24:06,Mercedes-Benz,B180,1.7 Bensin,2010,150,Bensin,Hitam,Automatic,1500-to-2000,SUV,Diler
877606066,2022-10-31T09:42:57+07:00,Nissan March 2012,Regular,88000000.0,Jakarta D.K.I.,Jakarta Selatan,Tebet,2022-10-31T02:42:57+0000,2022-10-31 10:24:06,Nissan,March,1.2 L Bensin,2012,100,Bensin,Putih,Automatic,1000-to-1500,Hatchback,Individu
871628893,2022-10-31T09:42:58+07:00,[Mobil Baru] Mercedes G 63 AMG 2022,Regular,7600000000.0,Jakarta D.K.I.,Jakarta Utara,Penjaringan,2022-10-31T02:42:56+0000,2022-10-31 10:24:06,Mercedes-Benz,GL63,,2022,5,Bensin,Hitam,Automatic,,,
875829430,2022-10-19T13:40:40+07:00,Honda BR-V 1.5 E Prestige Bensin A/T 2017 #FLASHSALE BRV,OLX_Autos,178500000.0,Jakarta D.K.I.,Jakarta Selatan,Cilandak,2022-10-31T02:42:40+0000,2022-10-31 10:24:06,Honda,BR-V,1.5 E Prestige Bensin,2017,60,Bensin,Putih,Automatic,1000-to-1500,MPV,Diler
874537595,2022-10-31T09:42:21+07:00,[OLX AUTOS] Toyota Sienta V Bensin 2017 Automatic Cokelat Metalik,OLX_Autos,183000000.0,Jakarta D.K.I.,Jakarta Timur,Pasar Rebo,2022-10-31T02:42:18+0000,2022-10-31 10:24:06,Toyota,Sienta,1.5 V Bensin,2017,80,Bensin,Coklat,Automatic,1000-to-1500,Compact & City Car,Diler
877122543,2022-10-25T17:04:47+07:00,Honda Brio Satya 1.2 E Bensin A/T 2017,OLX_Autos,139500000.0,Jakarta D.K.I.,Jakarta Utara,Kelapa Gading,2022-10-31T02:41:26+0000,2022-10-31 10:24:06,Honda,Brio Satya,1.2 E Bensin,2017,60,Bensin,Putih,Automatic,1000-to-1500,Hatchback,Diler
877122017,2022-10-25T16:59:03+07:00,Honda Brio Satya 1.2 E Bensin A/T 2021,OLX_Autos,168500000.0,Jakarta D.K.I.,Jakarta Utara,Kelapa Gading,2022-10-31T02:41:11+0000,2022-10-31 10:24:06,Honda,Brio Satya,1.2 E Bensin,2021,20,Bensin,Hitam,Automatic,1000-to-1500,Hatchback,Diler
877605887,2022-10-31T09:41:10+07:00,[OLX Autos] Suzuki APV 1.5 Deluxe Bensin MT 2015 Abu-Abu,OLX_Autos,102000000.0,Jakarta D.K.I.,Jakarta Selatan,Pasar Minggu,2022-10-31T02:41:07+0000,2022-10-31 10:24:06,Suzuki,APV Arena,1.5 GX Bensin,2015,55,Bensin,Abu-abu,Manual,1000-to-1500,MPV,Diler
874704123,2022-10-31T09:40:49+07:00,[OLX AUTOS] Honda HRV S Bensin 2017 Automatic Putih Metalik,OLX_Autos,234000000.0,Jakarta D.K.I.,Jakarta Timur,Ciracas,2022-10-31T02:40:47+0000,2022-10-31 10:24:06,Honda,HR-V,1.5 S Bensin,2017,50,Bensin,Putih,Automatic,1000-to-1500,SUV,Diler
877605829,2022-10-31T09:40:35+07:00,HINO DUTRO 130HD 2014/2015,Regular,210000000.0,Jakarta D.K.I.,Jakarta Utara,Penjaringan,2022-10-31T02:40:35+0000,2022-10-31 10:24:06,Hino,Dutro,Truck,2014,110,Diesel,Putih,Manual,gt-3000,Truk,Individu
877605827,2022-10-31T09:40:37+07:00,Honda HRV E metic 2015/2016 PJK idup,Regular,191000000.0,Jakarta D.K.I.,Jakarta Utara,Kelapa Gading,2022-10-31T02:40:34+0000,2022-10-31 10:24:06,Honda,HR-V,E CVT,2015,125,Bensin,Abu-abu,Automatic Triptonic,1000-to-1500,SUV,Individu
877123046,2022-10-25T17:11:03+07:00,Toyota Avanza 1.3 G Bensin A/T 2021,OLX_Autos,193000000.0,Jakarta D.K.I.,Jakarta Selatan,Kebayoran Lama,2022-10-31T02:40:02+0000,2022-10-31 10:24:06,Toyota,Avanza,1.3 G Bensin,2021,20,Bensin,Silver,Automatic,1000-to-1500,MPV,Diler
877120286,2022-10-25T16:40:17+07:00,Nissan Grand Livina 1.5 Ultimate Bensin A/T 2012,OLX_Autos,93500000.0,Jakarta D.K.I.,Jakarta Barat,Palmerah,2022-10-31T02:39:39+0000,2022-10-31 10:24:06,Nissan,Grand livina,1.5 Ultimate Bensin,2012,80,Bensin,Hitam,Automatic,1000-to-1500,MPV,Diler
877605704,2022-10-31T09:39:30+07:00,TOYOTA VOXY 2.0 FACELIFT ( 2022 ),Regular,615000000.0,Jakarta D.K.I.,Jakarta Utara,Kelapa Gading,2022-10-31T02:39:29+0000,2022-10-31 10:24:06,Toyota,Voxy,2.0 Bensin,2022,5,Bensin,Hitam,Automatic,1500-to-2000,Van,Diler
877001105,2022-10-24T12:34:48+07:00,Suzuki Ertiga 1.4 GX Bensin M/T 2013,OLX_Autos,129500000.0,Jakarta D.K.I.,Jakarta Timur,Cipayung,2022-10-31T02:39:19+0000,2022-10-31 10:24:06,Suzuki,Ertiga,1.4 GX Bensin,2013,65,Bensin,Abu-abu,Manual,1000-to-1500,MPV,Diler
874781090,2022-10-31T09:39:08+07:00,[OLX AUTOS] Honda CRV RM3 Bensin 2014 Automatic Coklat Metalik,OLX_Autos,206000000.0,Jakarta D.K.I.,Jakarta Pusat,Menteng,2022-10-31T02:39:06+0000,2022-10-31 10:24:06,Honda,CR-V,2.4 RM3 Bensin,2014,80,Bensin,Coklat,Automatic,2000-to-3000,SUV,Diler
876664913,2022-10-20T14:21:12+07:00,Toyota Agya 1.2 G Bensin M/T 2019,OLX_Autos,127500000.0,Jakarta D.K.I.,Jakarta Barat,Kembangan,2022-10-31T02:39:02+0000,2022-10-31 10:24:06,Toyota,Agya,1.2 G Bensin,2019,15,Bensin,Merah,Manual,1000-to-1500,Compact & City Car,Diler
